epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,996.061,0.72069,0.41723,0.88041,0.95024,0.95644,0.98772,0.88868,0.49847,0.26784,0.82512,0.000946016,0.000946016,0.000946016
17,1056.62,0.708,0.42046,0.87828,0.93711,0.98045,0.99045,0.89551,0.48853,0.22065,0.82176,0.000935018,0.000935018,0.000935018
18,1117.21,0.69946,0.39754,0.87339,0.96523,0.95568,0.99095,0.88157,0.532,0.22986,0.82496,0.000924019,0.000924019,0.000924019
19,1177.7,0.70205,0.40158,0.88087,0.93888,0.95666,0.98706,0.89443,0.47986,0.24723,0.81837,0.00091302,0.00091302,0.00091302
20,1238.02,0.68361,0.37558,0.87195,0.97656,0.97591,0.99352,0.91175,0.45943,0.18802,0.81704,0.000902021,0.000902021,0.000902021
21,1298.56,0.6644,0.3648,0.86483,0.95283,0.95526,0.98904,0.89815,0.4706,0.23669,0.81771,0.000891022,0.000891022,0.000891022
22,1359.36,0.66402,0.37449,0.86967,0.94757,0.9645,0.98904,0.89654,0.46993,0.24183,0.81888,0.000880023,0.000880023,0.000880023
23,1420.06,0.65491,0.35315,0.86574,0.95825,0.96163,0.98726,0.90507,0.45414,0.24542,0.81207,0.000869024,0.000869024,0.000869024
24,1480.73,0.65262,0.37479,0.8623,0.95505,0.9666,0.99066,0.90063,0.46666,0.23582,0.81582,0.000858025,0.000858025,0.000858025
25,1541.15,0.64602,0.36267,0.85876,0.94953,0.96621,0.99023,0.89086,0.48497,0.23167,0.81576,0.000847026,0.000847026,0.000847026
26,1601.77,0.62817,0.36213,0.85682,0.96361,0.96628,0.99008,0.9015,0.46406,0.20959,0.81941,0.000836027,0.000836027,0.000836027
27,1662.43,0.63591,0.35572,0.85663,0.96732,0.96422,0.9914,0.89241,0.48805,0.23451,0.8185,0.000825029,0.000825029,0.000825029
28,1723.65,0.62914,0.35354,0.85779,0.95134,0.97239,0.99189,0.91209,0.43893,0.19895,0.81116,0.00081403,0.00081403,0.00081403
29,1785.31,0.62483,0.35334,0.8596,0.96014,0.98015,0.9916,0.89833,0.48045,0.19903,0.81438,0.000803031,0.000803031,0.000803031
30,1849.24,0.6219,0.33665,0.85808,0.96958,0.97997,0.99207,0.90201,0.45682,0.1867,0.8149,0.000792032,0.000792032,0.000792032
31,1913.53,0.60881,0.33211,0.85136,0.9647,0.97774,0.99192,0.9079,0.43976,0.19368,0.81021,0.000781033,0.000781033,0.000781033
32,1976.71,0.60573,0.327,0.84939,0.95711,0.98568,0.99029,0.91257,0.44681,0.19354,0.81357,0.000770034,0.000770034,0.000770034
33,2039.64,0.60167,0.32203,0.85118,0.97407,0.97575,0.99209,0.90712,0.45101,0.19293,0.81341,0.000759035,0.000759035,0.000759035
34,2102.33,0.59841,0.32779,0.85189,0.95766,0.99071,0.99164,0.91199,0.43242,0.1856,0.81009,0.000748036,0.000748036,0.000748036
35,2165.2,0.58291,0.3159,0.84608,0.96568,0.97971,0.99267,0.91749,0.43001,0.19196,0.81147,0.000737037,0.000737037,0.000737037
36,2228.06,0.59879,0.33044,0.84892,0.97578,0.9904,0.99387,0.91667,0.43039,0.16787,0.81209,0.000726038,0.000726038,0.000726038
37,2291.52,0.5846,0.30305,0.84402,0.96283,0.96774,0.99062,0.90189,0.45308,0.20925,0.81378,0.00071504,0.00071504,0.00071504
38,2354.34,0.58644,0.29455,0.84712,0.98024,0.98005,0.99325,0.91687,0.43069,0.17986,0.80685,0.000704041,0.000704041,0.000704041
39,2421.98,0.57521,0.30072,0.84635,0.97168,0.98429,0.99265,0.91073,0.43955,0.17834,0.80893,0.000693042,0.000693042,0.000693042
40,2489.58,0.57492,0.29866,0.84337,0.98619,0.97831,0.99366,0.91884,0.43379,0.16248,0.81011,0.000682043,0.000682043,0.000682043
41,2555.44,0.56597,0.28818,0.84062,0.96959,0.98761,0.99266,0.92017,0.42389,0.18139,0.807,0.000671044,0.000671044,0.000671044
